Model,R² Score,R² Percentage,MAE,RMSE
Linear Regression,0.4526027629719196,45.26%,42.79409467959994,53.85344583676592
Lasso (Tuned),0.4718547867276227,47.19%,42.85442771664998,52.897953506442185
Ridge (Tuned),0.46085219464119254,46.09%,42.996932141596524,53.446111997699646
Random Forest (Tuned),0.45437419033453297,45.44%,43.61222144713481,53.766237896238195
Gradient Boosting (Tuned),0.487558845473927,48.76%,42.415002148528195,52.10557550650582
